,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6298,37.98392,23.73968,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6299,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.91,4.82,4.91,5.0,4.82,4.55,4.82,0.39
6300,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,5.0,4.88,4.88,5.0,5.0,4.88,5.0,0.29
6301,37.9826397,23.7325957,1.0,1.0,1.0,2.0,365.0,4.86,4.75,4.86,4.71,4.86,4.68,4.75,1.01
6302,37.99819,23.76533,1.0,1.0,1.0,2.0,365.0,5.0,5.0,5.0,5.0,4.8,4.8,4.8,0.17
6303,37.97608,23.73027,1.0,1.0,1.0,2.0,365.0,4.45,4.67,4.61,4.73,4.45,4.82,4.7,1.14
6304,37.9657813,23.7228168,1.0,1.0,1.0,3.0,90.0,5.0,5.0,4.75,5.0,5.0,5.0,4.75,0.14
6305,37.96769,23.7426,1.0,1.0,2.0,1.0,1125.0,4.71,4.61,4.68,4.88,4.76,4.86,4.61,2.74
6306,37.97123450714214,23.7108688428998,1.0,2.0,3.0,3.0,1125.0,5.0,4.99,5.0,4.99,4.99,4.84,4.98,3.24
6307,37.9852,23.72143,0.0,1.0,0.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.55,4.98,1.8
6308,37.9843,23.73866,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6309,37.98597,23.74022,1.0,2.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6310,37.98623,23.73824,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6311,37.98438,23.7386,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
